,input,true,prediction
1139,koluppil,கொழுப்பில்,"கொலுப்பில்
"
1140,kuva,குவா,"குவா
"
1141,eedupattadhaaga,ஈடுபட்டதாக,"ஈடுபட்டதாக
"
1142,rajput,ராஜ்புட்,"ராஜ்பு்
"
1143,beatles,பீட்டில்ஸ்,"பாட்ல்்்
"
1144,musulim,முசுலீம்,"முசுலிம்
"
1145,azhiththaar,அழித்தார்,"அழித்தார்
"
1146,maaraaka,மாறாக,"மாராக
"
1147,aavudaiyaal,ஆவுடையாள்,"ஆவுடையால்
"
1148,paso,பசோ,"பாோோ
"
1149,vidukiravanukku,விடுகிறவனுக்கு,"விடுகிறவனுக்கு
"
1150,parattukkal,பாராட்டுக்கள்,"பரட்டுக்கள்
"
1151,cholunkal,சொல்லுங்கள்,"சொலுங்கள்
"
1152,vangadhaesaththin,வங்கதேசத்தின்,"வங்கதேசத்தின்
"
1153,sarawagi,சரவாகி,"சரவாகக

"
1154,surendranagar,சுரேன்திரநகர்,"சுரென்றனகர்
"
1155,saantham,சாந்தம்,"சாந்தம்
"
1156,magaadevi,மகாதேவி,"மகாடெவி
"
1157,choottik,சூட்டிக்,"சூட்டிக்
"
1158,pandavargalukkum,பாண்டவர்களுக்கும்,"பண்டவர்களுக்கும்
"
1159,nucleus,ந்யூக்லியஸ்,நுச்லக்்்
1160,uzhaika,உழைக்க,"உழைக
"
1161,sent,செயிண்ட்,"சென்ட்
"
1162,roawer,ரோவர்,"ரோவேர்
"
1163,untaanathu,உண்டானது,"உண்டானது
"
1164,aayvukalukku,ஆய்வுகளுக்கு,"ஆய்வுகளுக்கு
"
1165,duke,ட்யூக்,"டுக்
"
1166,gables,கபிள்ஸ்,"கே்்ே்்
"
1167,vaguththadhu,வகுத்தது,"வகுத்தது
"
1168,pandavargalai,பாண்டவர்களை,"பண்டவர்களை
"
1169,malarae,மலரே,"மலரே
"
1170,cherinthu,செறிந்து,"செரிந்து
"
1171,tamizhakatthukku,தமிழகத்துக்கு,"தமிழகத்துக்கு
"
1172,paalum,பாலும்,"பாலும்
"
1173,garg,கார்க்,"கார்க்
"
1174,castaneda,காஸ்டானீடா,"சா்டாேட
"
1175,sivaprakasa,சிவப்பிரகாச,சிவப்பிரகாாச
1176,lakhimpur,லக்மிபுர்,"லக்்ிம்பூர்
"
1177,kaavalturaik,காவல்துறைக்,"காவல்டுரைக்
"
1178,kethumaalanin,கேதுமாலனின்,"கேதுமாளனின்
"
1179,americavil,அமெரிக்காவில்,"அமேரிக்காவில்
"
1180,illaiyenil,இல்லையெனில்,"இல்லையெனில்
"
1181,seerudaikal,சீருடைகள்,"சீருடைகள்
"
1182,koodadhu,இருக்கக்,"கூடது
"
1183,rishii,ரிஷி,"ரிஷியி
"
1184,kaattuvathaaga,காட்டுவதாக,"காட்டுவதாக
"
1185,dhoni,டோனி,"தோனி
"
1186,solvadhenral,சொல்வதென்றால்,"சொல்வதென்றல்
"
1187,noushadhin,நெளஷதின்,"நோஷதின்
"
1188,uchchakatta,உச்சகட்ட,"உச்சக்ட்ட
"
1189,soozhappatirukkira,சூழப்பட்டிருக்கிற,"சூழப்படிருக்கிற
"
1190,textiles,டெக்ஸ்டைல்ஸ்,டெக்ட்டில்்்
1191,ashok,அசோகா,"அஷ்கோக்
"
1192,kuzhandhaay,குழந்தாய்,"குழந்தாய்
"
1193,uppsala,உப்சாலா,"உப்ப்சலா
"
1194,veeraankanaigal,வீராங்கனைகள்,"வீராண்கணைகள்
"
1195,vlaadimir,விளாடிமிர்,"விலாடிமிர்
"
1196,tholumpoathu,தொழும்போது,"தொலும்போது
"
1197,maththiyatharaik,மத்தியதரைக்,"மத்தியதறைக்
"
1198,rahaaney,ரஹானே,"ராானேய்
"
1199,nava,நவ,"நவா
"
1200,rend,ரேண்ட்,"ரெண்ட்
"
1201,qool,கூல்,"கோல்
"
1202,keeran,கிரண்,"கீரன்
"
1203,cipla,சிப்லா,"சிப்ளா
"
1204,virumbugiraargal,விரும்புகிறார்கள்,"விரும்புகிறார்கள்
"
1205,nashik,நாஷிக்,"நா்ிக்
"
1206,kudumippidiyum,குடுமிப்பிடியும்,"குடுமிப்பிடியும்
"
1207,arivippugalai,அறிவிப்புகளை,"அறிவிப்புகளை
"
1208,ringk,ரிங்க்,"ரிங்க்
"
1209,seidhidavum,செய்திடவும்,"செய்திடவும்
"
1210,francisco,ஃப்ரான்ஸிஸ்கோ,"பிரான்சி்்க்
"
1211,thambathigal,தம்பதிகள்,"தம்பதிகள்
"
1212,peaththi,பேத்தி,"பேத்தி
"
1213,irundhaale,இருந்தாலே,"இருந்தாளே
"
1214,rehman,ரெஹ்மான்,"ரெஹ்மன்
"
1215,zed,ஜெட்,"எட்
"
1216,serththanar,சேர்த்தனர்,"சேர்த்தனர்
"
1217,vanggikku,வங்கிக்கு,"வங்கிக்கு
"
1218,iyakku,இயக்கு,"இயக்கு
"
1219,reilly,ரைல்லி,"ரெய்ல்லி
"
1220,thalaimaiyetraar,தலைமையேற்றார்,"தலைமையெற்றார்
"
1221,financial,பைனான்சியல்,"பினன்சியால்
"
1222,quantam,குவாண்டம்,"காண்டம்
"
1223,samarppikka,சமர்ப்பிக்க,"சமர்ப்பிக்க
"
1224,magha,மகா,"மகா
"
1225,goud,குட்,"கோட்
"
1226,myyamaakavum,மையமாகவும்,"மையமாகவும்
"
1227,mattaththirkkum,மட்டத்திற்கும்,"மட்டத்திற்கும்
"
1228,kataisi,கடைசி,"கடைைிசி
"
1229,karuththuk,கருத்துக்,"கருத்துக்
"
1230,motihari,மோடிஹாரி,"மொட்திரார
"
1231,sendrullathu,சென்றுள்ளது,"சென்றுள்ளது
"
1232,aatchiyamaikka,ஆட்சியமைக்க,"ஆட்சியமைக்க
"
1233,solvathentraal,சொல்வதென்றால்,"சொல்வதென்றால்
"
1234,kuzhanthaai,குழந்தாய்,"குழந்தாய்
"
1235,veesith,வீசித்,"வீசித்
"
1236,nilaithaan,நிலைதான்,"நிலைதான்
"
1237,gardner,கார்ட்னர்,"கரர்்னரர்
"
1238,kalviye,கல்வியே,"கல்வியே
"
1239,paathaiyai,பாதையை,"பாதையை
"
1240,karpathil,கற்பதில்,"கர்பதில்
"
1241,eedupattanar,ஈடுபட்டனா்,"ஈடுபட்டனர்
"
1242,barron,பர்ரன்,"பார்ர்்்
"
1243,kodaikanal,கொடைக்கானல்,"கொடைகணல்
"
1244,khare,காரே,"காரே
"
1245,paanankal,பானங்கள்,"பாணங்கள்
"
1246,gallon,கேலன்,"கால்ல்
"
1247,larsen,லார்சன்,"லார்ச்்
"
1248,thayanidhiyaagiya,தயாநிதியாகிய,"தயநிதியாகிய
"
1249,seyalpatum,செயல்படும்,"செயல்படும்
"
1250,setti,சதி,"செட்டி
"
1251,chuttinar,சூட்டினர்,"சுட்டிரர்
"
1252,movers,மூவர்ஸ்,மோவே்்்
1253,iththeevu,இத்தீவு,"இத்தீவு
"
1254,pakuthiyaith,பகுதியைத்,"பகுதியைத்
"
1255,intrith,இன்றித்,"இன்றித்
"
1256,pradhaesa,மத்தியப்,"பிரதேச
"
1257,vaelaich,வேலைச்,"வேலைச்
"
1258,paliyiduthal,பலியிடுதல்,"பலியிடலத்
"
1259,chaudhary,சௌதரி,"சாதர்
ி"
1260,ibraahim,இப்ராகிம்,"இப்ராஹிம்
"
1261,maarpai,மார்பை,"மார்பை
"
1262,nigazhndhirukkume,நிகழ்ந்திருக்குமே,"நிகழ்ந்திருக்குமே
"
1263,jhindal,ஜிந்தால்,"ஜிந்தல்
"
1264,vaithirukkiradhu,வைத்திருக்கிறது,"வைதிருக்கிறது
"
1265,pidippathu,பிடிப்பது,"பிடிப்பது
"
1266,gaurilla,கொரில்லா,"கேரில்லா
"
1267,cauimbatoore,கோவை,"காய்மபூூரர
"
1268,thaniththaniyaana,தனித்தனியான,"தனித்தனியான
"
1269,manai,மனை,"மனை
"
1270,kaarg,கார்க்,"கார்க்
"
1271,karuththukkalin,கருத்துக்களின்,"கருத்துக்களின்
"
1272,therigiradhu,தெரிகிறது,"தெரிகிறது
"
1273,earpadaatha,ஏற்படாத,"ஏற்படாத
"
1274,muhammad,முஹம்மத்,"முஹம்மட்
"
1275,provo,ப்ரோவோ,"பிரோவோ
"
1276,inthnikalvai,இந்நிகழ்வை,"இந்நிகள்வை
"
1277,kaappeedu,காப்பீடு,"காப்பீடு
"
1278,karkhele,கர்கேலே,"கார்க்ல்ல
"
1279,vitna,விட்ன,"விட்னா
"
1280,kokarnesvarar,கோகர்னேஸ்வரர்,"கொக்கர்்்ரரரரர
"
1281,panri,பன்றி,"பன்றி
"
1282,niruvappattuch,நிறுவப்பட்டுச்,"நிறுவப்பட்டுச்
"
1283,saintt,செயிண்ட்,"சைந்ட்
"
1284,tuurbo,டர்போ,"டுருரோ
"
1285,kuzhuvinargalukkidaiye,குழுவினர்களுக்கிடையே,"குழுவினர்களுக்கிடையே
"
1286,tholuthaar,தொழுதார்,"தொலுதார்
"
1287,taataa,டாடா,"தாடா
"
1288,kelviin,கெல்வின்,"கேல்வின்
"
1289,premaa,பிரேமா,"பிரேமா
"
1290,thamizhakaththaych,தமிழகத்தைச்,"தமிழகத்தய்ச்
"
1291,maanikkam,மாணிக்கம்,"மாணிக்கம்
"
1292,sooraavalikal,சூறாவளிகள்,"சூராவலிகள்
"
1293,anant,அனன்த்,"அனந்த்
"
1294,kizhaar,கிழார்,"கிழார்
"
1295,wadhawan,வாதவான்,"வததான்
"
1296,kuuttappatta,கூட்டப்பட்ட,"குட்டப்பட்ட
"
1297,seiyappattullaar,செய்யப்பட்டுள்ளார்,"செய்யப்பட்டுள்ளார்
"
1298,aarppaattam,ஆர்ப்பாட்டம்,"ஆர்ப்பாட்டம்
"
1299,kulatthirku,குளத்திற்கு,"குலத்திற்கு
"
1300,kadithaththil,கடிதத்தில்,"கடிதத்தில்
"
1301,kaidhiyaaga,கைதியாக,"கைதியாக
"
1302,vaadiya,வாடிய,"வாடிய
"
1303,letin,லத்தீன்,லெட்னின்
1304,loakiyaa,லோகியா,"லோகியா
"
1305,yoosiththu,யோசித்து,"யூசித்து
"
1306,solarkal,சோழர்கள்,"சொலர்கள்
"
1307,tara,தாரா,"தரா
"
1308,sivandhu,சிவந்து,"சிவந்து
"
1309,azhiththathu,அழித்தது,"அழித்தது
"
1310,kaidhu,கைது,"கைது
"
1311,sheppard,ஷெப்பர்ட்,"ஷெப்பார்ட்
"
1312,kulangkalum,குளங்களும்,"குலங்களும்
"
1313,thiruvadanai,திருவாடானை,"திருவடனை
"
1314,vetrtridam,வெற்றிடம்,"வெற்றிடம்
"
1315,peyaraal,பெயரால்,"பெயராள்
"
1316,mahabaleshwar,மஹாபலேஷ்வர்,"மகபலேஷ்வர்
"
1317,piriththiyaaniyaavil,பிரித்தியானியாவில்,"பிரித்தியானியாவில்
"
1318,talankalil,பிற,"தலங்களில்
"
1319,pirasanthaip,பிரசாந்தைப்,"பிரசந்தைப்
"
1320,vachchinde,வச்சின்டே,"வச்சிந்டே
"
1321,anju,அஞ்சு,"அஞ்சு
"
1322,paniyida,பணியிட,"பணியிட
"
1323,aarppaattangkal,ஆர்ப்பாட்டங்கள்,"ஆர்ப்பாட்டங்கள்
"
1324,mcmillan,மேக்மில்லன்,"ம்க்மில்லான்
"
1325,eesal,ஈசல்,"ஈசல்
"
1326,ithazhaaka,இதழாக,"இதழாக
"
1327,moondrilirundhu,மூன்றிலிருந்து,"மூன்றிலிருந்து
"
1328,seedharth,சித்தார்த்,"சீதர்த்
"
1329,thalaivanum,தலைவனும்,"தலைவனும்
"
1330,urii,யூரி,"உரிி
"
1331,waeter,வாட்டர்,"வேட்டர்
"
1332,vazhithoantralgal,வழித்தோன்றல்கள்,"வழிதோன்றல்கள்
"
1333,varalaaratra,வரலாறற்ற,"வரலாரற்ற
"
1334,thaankak,தாங்கக்,"தாண்கக்
"
1335,gopy,கோபி,"கோப்யி
"
1336,itharkamaiya,இதற்கமைய,"இதற்கமைய
"
1337,araikuuval,அறைகூவல்,"அறைகுவல்
"
1338,oppanthak,ஒப்பந்தக்,"ஒப்பந்தக்
"
1339,baabaavin,பாபாவின்,"பாபாவின்
"
1340,ewer,எவர்,"எவ்ர்
"
1341,tharavugalai,தரவுகளை,"தரவுகளை
"
1342,neeroadu,நீரோடு,"நீரோடு
"
1343,sindhanaiyai,சிந்தனையை,"சிந்தனையை
"
1344,chary,சாரி,"சரர்
ி
"
1345,ooraga,ஊரக,"சரக
"
1346,everett,எவெரெட்,"எவரரட்ட்
"
1347,samanaana,சமனான,"சமனான
"
1348,appadiyum,அப்படியும்,"அப்படியும்
"
1349,khaliq,காலிக்,"கலிக்
"
1350,koophee,கோபி,"கோபீ
"
1351,muyantrapoathu,முயன்றபோது,"முயன்றபோது
"
1352,vetrtritaththai,வெற்றிடத்தை,"வெற்றிடத்தை
"
1353,nagaraththilirunthuthan,நகரத்திலிருந்துதான்,"நகரத்திலிருந்துதன்
"
1354,arivippukalai,அறிவிப்புகளை,"அறிவிப்புகளை
"
1355,poaga,போக,"போக
"
1356,goldain,கோல்டன்,"கோல்டைன்
"
1357,makammathu,முகம்மது,"மகம்மது
"
1358,payanikalukku,பயணிகளுக்கு,"பயணிகளுக்கு
"
1359,appagudhi,அப்பகுதி,"அப்பகுதி
"
1360,thuvakkappattu,துவக்கப்பட்டு,"துவக்கப்பட்டு
"
1361,kanniyar,கன்னியர்,"கண்ணியர்
"
1362,evanston,இவான்ஸ்டோன்,"எவன்்்டன்
"
1363,vaaganangkalukku,வாகனங்களுக்கு,"வாகணங்களுக்கு
"
1364,kaurava,கௌரவ,"காரவ
"
1365,amerikkarkalukku,அமெரிக்கர்களுக்கு,"அமெரிக்கர்களுக்கு
"
1366,swain,ஸ்வென்,"ச்வான்
"
1367,moondrilirunthu,மூன்றிலிருந்து,"மூன்றிலிருந்து
"
1368,pukalpettraar,புகழ்பெற்றார்,"பககல்பெற்றார்
"
1369,orlando,ஒர்லாண்டோ,"ஒர்லாண்டோ
"
1370,kurainthavarkal,குறைந்தவர்கள்,"குறைந்தவர்கள்
"
1371,adhimugavai,அதிமுகவை,"அதிமுகவை
"
1372,gunamaa,குணமா,"குணமா
"
1373,thaangaamal,தாங்காமல்,"தாங்காமல்
"
1374,thoolvikkup,தோல்விக்குப்,"தூல்விக்குப்
"
1375,kaaranamaagap,காரணமாகப்,"காரணமாகப்
"
1376,kathaikku,கதைக்கு,"கதைக்கு
"
1377,becky,பெக்கி,"பெக்கி
"
1378,selikkukkum,செலிக்குக்கும்,"செலிக்குக்கும்
"
1379,kadaichchanggath,கடைச்சங்கத்,"கடைச்சங்கத்
"
1380,vaeroruvan,வேறொருவன்,"வேரோருவன்
"
1381,vazhanggunar,வழங்குநர்,"வழங்குணர்
"
1382,noolakangal,நூலகங்கள்,"நூலகங்கள்
"
1383,oovar,ஓவர்,"சவர்
"
1384,carloo,கார்லோ,"கார்லூ
"
1385,thaangkakoodiya,தாங்கக்கூடிய,"தாங்ககூடிய
"
1386,arimugappaduthuven,அறிமுகப்படுத்துவேன்,"அறிமுகப்படுதுவேன்
"
1387,suzharpanthu,சுழற்பந்து,"சுழற்பந்து
"
1388,vimaananggalum,விமானங்களும்,"விமானங்களும்
"
1389,pygmies,பியார்,"பிக்மிச்
"
1390,tun,டூன்,"துன்
"
1391,sothai,சொத்தை,"சோதை
"
1392,mudikkappattiruntha,முடிக்கப்பட்டிருந்த,"முடிக்கப்பட்டிருந்த
"
1393,magilchchiyaaga,மகிழ்ச்சியாக,"மகில்ச்சியாக
"
1394,shavai,ஷாவை,"ஷவைை
"
1395,guarrilla,கொரில்லா,"குர்ரில்லா
"
1396,nirangalh,நிறங்கள்ஃ,"நிறங்கள்
"
1397,tamilakap,தமிழகப்,"தமிழகப்
"
1398,kenner,கென்னர்,"கேண்னே்
"
1399,naveenath,நவீனத்,"நவீனத்
"
1400,sanghvi,சங்கவி,"சங்்வி
"
1401,paarththuch,பார்த்துச்,"பார்த்துச்
"
1402,samamaagavum,சமமாகவும்,"சமமாகவும்
"
1403,vaangum,வாங்கும்,"வாங்கும்
"
1404,geethai,கீதை,"கீதை
"
1405,padaiththanar,படைத்தனர்,"படைத்தனர்
"
1406,vilimpugal,விளிம்புகள்,"விளிம்புகள்
"
1407,kudippazhakkam,குடிப்பழக்கம்,"குடிப்பழக்கம்
"
1408,ingaa,இன்கா,"இங்கா
"
1409,sattamaa,சட்டமா,"சட்டமா
"
1410,jyothy,ஜோதி,"ஜோத்யி
"
1411,ooraandil,ஓராண்டில்,"	ராண்டில்
"
1412,vangathaesaththin,வங்கதேசத்தின்,"வங்கதேசத்தின்
"
1413,maaskoovin,மாஸ்கோவின்,"மாச்கூவின்
"
1414,swasippadhaal,சுவாசிப்பதால்,"சுவுசசப்பதால்
"
1415,padithal,படிதல்,"படிதல்
"
1416,pathikkappattullathu,பாதிக்கப்பட்டுள்ளது,"பதிக்கப்பட்டுள்ளது
"
1417,dhandavaalangal,தண்டவாளங்கள்,"தண்டவாளங்கள்
"
1418,shankar,பிரபு,"ஷா்கர்
"
1419,vaelaiyaaga,வேலையாக,"வேலையாக
"
1420,amerikka,அமெரிக்கா,"அமேரிக்க
"
1421,thoolaith,தூளைத்,"தூலைத்
"
1422,vedik,வேதக்,"வெடிக்
"
1423,wlademer,விளாடிமிர்,"வாலடமேர்
"
1424,patil,பாட்டில்,"படில்
"
1425,vichaikalai,விசைகளை,"விச்சைகளை
"
1426,virkanum,விற்கனும்,"விற்கணும்
"
1427,adhilaeyae,அதிலேயே,"அதிலேயே
"
1428,orange,ஆரஞ்சு,"ஒரங்கே
"
1429,solgireergal,சொல்கிறீர்கள்,"சொல்கிரீர்கள்
"
1430,kodukkappattikkum,கொடுக்கப்பட்டிக்கும்,"கொடுக்கப்பட்டிக்கும்
"
1431,thodarpukalil,தொடர்புகளில்,"தொடர்புகளில்
"
1432,sinthithal,சிந்தித்தல்,"சிந்திதல்
"
1433,shiiv,சிவ,"ஷிவ்
"
1434,gond,கோன்ட்,"கோண்ட்
"
1435,bhasin,பாஸின்,"பாசி்்
"
1436,koolgalai,கோல்களை,"கோல்களை
"
1437,kokuyo,கொகூயோ,"கோக்கோயோ
"
1438,poola,பவுலா,"பூல
"
1439,tie,டை,"தியே
"
1440,enrirunthirukkum,என்றிருந்திருக்கும்,"என்றிருந்திருக்கும்
"
1441,jammukashmirin,ஜம்முகாஷ்மீரின்,"ஜம்முகாஷ்மிரின
"
1442,panguthaarargalaaga,பங்குதாரர்களாக,"பங்குதாரர்களாக
"
1443,muzhavu,முழவு,"முழவு
"
1444,aasiriyaraakap,ஆசிரியராகப்,"ஆசிரியராகப்
"
1445,aanmikam,ஆன்மிகம்,"ஆண்மிகம்
"
1446,pathaviyerpu,பதவியேற்பு,"பதவியேர்பு
"
1447,ahmadnagar,அஹமத்நகர்,ஹஹ்மா்்ாரர்
1448,mudinthaalum,முடிந்தாலும்,"முடிந்தாலும்
"
1449,bhilai,பிலாய்,"பிலை
"
1450,carey,கரே,"காரே
"
1451,padigal,படிகள்,"படிகள்
"
1452,covai,கோவை,"கவவை
"
1453,nanmaiyaaga,நன்மையாக,"நன்மையாக
"
1454,kavalaiyee,கவலையே,"கவலையீ
"
1455,nadaththinaal,நடத்தினால்,"நடத்தினால்
"
1456,pinvaangkinaar,பின்வாங்கினார்,"பின்வாங்கினார்
"
1457,voolka,வோல்கா,"வூல்க
"
1458,nana,நானா,"நான
"
1459,just,ஜஸ்ட்,"ஜூ்்ட்
"
1460,kallangkuzhikku,கல்லங்குழிக்கு,"கல்ளங்குழிக்கு
"
1461,aadupavar,ஆடுபவர்,"ஆடுபவர்
"
1462,siims,சிம்ஸ்,"சிம்ச்
"
1463,supply,சப்ளை,"சுப்ப்பி
"
1464,bareilly,பரேல்லி,"பாரெல்லி
"
1465,ariviththirunthaar,அறிவித்திருந்தார்,"அறிவித்திருந்தார்
"
1466,theriyaathaa,தெரியாதா,"தெரியாதா
"
1467,koabi,கோபி,"கோபி
"
1468,ungantha,உகந்த,"உங்கந்த
"
1469,mamallapuram,மாமல்லபுரம்,"மமல்லபுரர்ம
"
1470,dekalb,டெகால்ப்,டேகா்்்்
1471,idippu,இடிப்பு,"இடிப்பு
"
1472,thanseivinai,தான்செய்வினை,"தன்செய்வினை
"
1473,idhaiththaan,இதைத்தான்,"இதைத்தான்
"
1474,pirarukku,பிறருக்கு,"பிரருக்கு
"
1475,siridhum,சிறிதும்,"சிறிதும்
"
1476,sakkaranggalai,சக்கரங்களை,"சக்கரங்களை
"
1477,yerpadaatha,ஏற்படாத,"யர்படாத
"
1478,talaivarai,தலைவரை,"தலைவரை
"
1479,angkeegaaraththaip,அங்கீகாரத்தைப்,"அங்கீகாரத்தைப்
"
1480,nizamat,நிசாமட்,"நிழமா்
"
1481,jet,ஜெட்,"ஜெட்
"
1482,eekapoakam,ஏகபோகம்,"ஈகபோகம்
"
1483,pradhaesam,மத்தியப்,"பிரதேசம்
"
1484,eevu,ஈவு,"ஈவு
"
1485,sabaiyinaal,சபையினால்,"சபையினால்
"
1486,raedaar,ரேடார்,"ரேடார்
"
1487,vidayam,விடயம்,"விடயம்
"
1488,aayvugalaiyum,ஆய்வுகளையும்,"ஆய்வுகளையும்
"
1489,purivadhu,புரிவது,"புரிவது
"
1490,pirgaalaththu,பிற்காலத்து,"பிற்காலத்து
"
1491,civinki,ஒட்டகச்,"சிவிங்கி
"
1492,hinton,ஹிண்டன்,"ஹின்டோன்
"
1493,murthiyaaga,மூர்த்தியாக,"முற்தியாக
"
1494,mahesan,மகேசன்,"மாேசன்
"
1495,keenl,கேனல்,"கீண்ல்
"
1496,kudhinkaalgalai,குதிங்கால்களை,"குதிங்கால்களை
"
1497,nadandhuvaruvathaagavum,நடந்துவருவதாகவும்,"நடந்துவருவதாகவும்
"
1498,cherbiya,செர்பியா,"செர்பியா
"
1499,matriyirunthathaakavum,மாற்றியிருந்ததாகவும்,"மற்றியிருந்ததாகவும்
"
1500,aavanapaduthuvathu,ஆவணப்படுத்துவது,"ஆவணபடுதவுவு
"
1501,kurichi,குறிச்சி,"குரிச்சி
"
1502,varshney,வர்ஷ்னே,"வர்ஷ்ணெய்
"
1503,thirankal,திறன்கள்,"திரங்கள்
"
1504,paliyiduvathu,பலியிடுவது,"பலியிடுவது
"
1505,veezhchchiyin,வீழ்ச்சியின்,"வீழ்ச்சியின்
"
1506,durkkai,துர்க்கை,"துர்க்கை
"
1507,iraagavanai,இராகவனை,"இராகவனை
"
1508,kodiye,கோடியே,"கொடியே
"
1509,distriparks,டிஸ்ட்ரிபார்க்ஸ்,டி்்ட்ரிபார்க்
1510,mesion,மிஷன்,"மெசியோன்
"
1511,nisan,நிசான்,"நிசன்
"
1512,kooriyirunthathaalum,கூறியிருந்ததாலும்,"கோரியிருந்ததாலும்ம்
"
1513,nootrtriyettu,நூற்றியெட்டு,"நூற்றியெட்டு
"
1514,vayal,தன்,"வயல்
"
1515,paduththiyadhu,படுத்தியது,"படுத்தியது
"
1516,kadaisiyaaga,கடைசியாக,"கடைசியாக
"
1517,titan,டைடன்,"திட்டன்
"
1518,manathukku,மனதுக்கு,"மனதுக்கு
"
1519,vivaatha,விவாத,"விவாத
"
1520,anumadhikavillai,அனுமதிக்கவில்லை,"அணுமதிகவில்லை
"
1521,niyamikka,நியமிக்க,"நியமிக்க
"
1522,kulonsillaa,குளோன்ஸில்லா,"குலொன்சில்லா
"
1523,peepi,பீபி,"பீபி
"
1524,fremont,ஃபிரீமாண்ட்,பிரெமோ்்ட்
1525,africa,ஆபிரிக்கா,"அரபப்ிகககா
"
1526,parathaechi,பரதேசி,"பரதேச்சி
"
1527,sonnathum,சொன்னதும்,"சொன்னதும்
"
1528,avaridam,அவரிடம்,"அவரிடம்
"
1529,kolukkattai,கொழுக்கட்டை,"கொலுக்கட்டை
"
1530,aalaiyam,ஆலையம்,"ஆலையம்
"
1531,qarachy,கராச்சி,"காரச்ி
"
1532,pandavargalum,பாண்டவர்களும்,"பண்டவர்களும்
"
1533,kollappadavullamaiyum,கொள்ளப்படவுள்ளமையும்,"கொள்ளப்படவுள்ளமையும்மு
"
1534,asuraththakkuthalgalil,அசுரத்தாக்குதல்களில்,"அசுரத்தக்குதல்களில்
"
1535,poly,பாலி,"பொல்
ி
"
1536,verenna,வேறென்ன,"வெரென்னா
"
1537,mendru,மென்று,"மென்று
"
1538,polutil,மாலைப்,"பொலுடில்
"
1539,kooriyapoothu,கூறியபோது,"கூரியபூது
"
1540,kaaranaththaith,காரணத்தைத்,"காரணத்தைத்
"
1541,potter,போட்டெர்,"பொட்டரர்
"
1542,sirithum,சிறிதும்,"சிறிதும்
"
1543,banks,பேங்க்ஸ்,"பா்்்்்
"
1544,nasra,நாசிர்,"நா்்ாா
"
1545,espinoza,எஸ்பினோசா,"எச்பினோன
"
1546,kalloori,கல்லூரி,"கல்லூரி
"
1547,unarnthaan,உணர்ந்தான்,"உணர்ந்தான்
"
1548,piravaecha,பிரவேச,"பிரவேச்ச
"
1549,niruththappattu,நிறுத்தப்பட்டு,"நிருத்தப்பட்டு
"
1550,thambathi,தம்பதி,"தம்பதி
"
1551,guha,குஹா,"குஹா
"
1552,vatamaerkil,வடமேற்கில்,"வடமேற்கில்
"
1553,unnidam,உன்னிடம்,"உண்ணிடம்
"
1554,veettirguch,வீட்டிற்குச்,"வீட்டிர்குச்
"
1555,thoontriya,தோன்றிய,"தூன்றிய
"
1556,kaankiraar,காண்கிறார்,"காண்கிறார்
"
1557,pirakaasa,சைவப்,"பிரகாச
"
1558,gud,குட்,"குட்
"
1559,expo,எக்ஸ்போ,"எக்ப்போ
"
1560,tokaiyaik,தொகையைக்,"தோக்கையைக்
"
1561,bauroon,போரான்,"பாரூன்
"
1562,aaytha,ஆய்த,"ஆய்த
"
1563,titanium,டைட்டானியம்,"திட்டனிும்
"
1564,avaroo,அவரோ,"அவரூ
"
1565,sottiyirunthathu,சொட்டியிருந்தது,"சொட்டியிருந்தது
"
1566,chakkarangalai,சக்கரங்களை,"சக்கரங்களை
"
1567,kadhaiyamsangaludan,கதையம்சங்களுடன்,"கதையம்சங்களுடன்
"
1568,magaalatchumi,மகாலட்சுமி,"மகாலட்சுமி
"
1569,coult,கோல்ட்,"கால்ட்
"
1570,valakkukalum,வழக்குகளும்,"வலக்குகளும்
"
1571,nalloor,நல்லோர்,"நல்லூர்
"
1572,kodiyertrathudan,கொடியேற்றத்துடன்,"கொடியெற்றதுடன்
"
1573,panigazhin,பணிகளின்,"பணிகழின்
"
1574,sarvargal,சர்வர்கள்,"சர்வர்கள்
"
1575,taraa,தாரா,"தரா
"
1576,aangalae,ஆண்களே,"ஆங்களே
"
1577,adhaepoal,அதேபோல்,"அதேபோல்
"
1578,covaiyin,கோவையின்,"கவவையின்
"
1579,arupaththu,அறுபத்து,"அருபத்து
"
1580,kaalathung,காலத்துங்,"காலதுங்
"
1581,adiththuvittadhagavum,அடித்துவிட்டதாகவும்,"அடித்துவிட்டதககவும்
"
1582,darvyn,டார்வின்,டார்வின்
1583,payir,பயிர்,"பயிர்
"
1584,panipat,பானிபட்,"பணிபட்
"
1585,nanmaiyaka,நன்மையாக,"நண்மையக
"
1586,thogaiyee,தொகையே,"தொகையீ
"
1587,veil,வீல்,"வெய்ல்
"
1588,serkkaikal,சேர்க்கைகள்,"செர்க்கைகள்
"
1589,palagaiyin,பலகையின்,"பலகையின்
"
1590,ivaiyellaam,இவையெல்லாம்,"இவையெல்லாம்
"
1591,kazhalai,கழலை,"கழலை
"
1592,swamy,சுவாமி,"ச்வாம்
"
1593,auuguust,ஆகஸ்ட்,ஆகுகு்்்்
1594,oozhalil,ஊழலில்,"ஒழலில்
"
